raw_date,raw_title,raw_description,link
Publié le 29 mars 2024,"La misère, d’une station à l’autre","Station Berri-UQAM, mercredi, 9 h 30. Des dizaines de travailleurs et d’étudiants commencent leur journée. Quelques sans-abri errent dans les couloirs. Des policiers et constables spéciaux sont bien visibles sur la mezzanine centrale, avec leurs uniformes et leurs dossards fluo.",https://www.lapresse.ca/actualites/grand-montreal/sentiment-d-insecurite/une-journee-dans-le-metro/2024-03-29/la-misere-d-une-station-a-l-autre.php
Publié le 29 mars 2024,Le SPVM « plus efficace » dans le réseau,"Ce n’est pas ce que les usagers de la STM souhaiteraient entendre, mais les maux à l’origine de la vague d’insécurité dans le métro « ne diminueront pas, c’est sûr et certain », estime la grande patronne des policiers affectés au réseau souterrain.",https://www.lapresse.ca/actualites/grand-montreal/une-journee-dans-le-metro/2024-03-29/le-spvm-plus-efficace-dans-le-reseau.php
Publié le 29 mars 2024,La STM appelle à l’aide,"Dépassée par l’augmentation du sentiment d’insécurité dans le métro, la Société de transport de Montréal (STM) veut « revoir le modèle » d’intervention auprès des personnes vulnérables en impliquant plus de ressources. En attendant, plusieurs solutions existent pour redonner confiance aux usagers, plaident des spécialistes.",https://www.lapresse.ca/actualites/grand-montreal/2024-03-29/insecurite-dans-le-metro/la-stm-appelle-a-l-aide.php
Publié le 25 mars 2024,Ottawa n’exclut pas d’accélérer le financement,"Le ministre des Transports du Canada, Pablo Rodriguez, n’exclut pas de devancer le financement associé au nouveau Fonds permanent pour le transport en commun, afin de soutenir les transporteurs. Mais il rétorque du même coup à Québec que son gouvernement ne s’est « jamais désengagé » en matière de mobilité durable.",https://www.lapresse.ca/actualites/politique/2024-03-25/transport-collectif/ottawa-n-exclut-pas-d-accelerer-le-financement.php
Publié le 22 mars 2024,Un suspect arrêté concernant l’agression du père d’Alexandre Champagne,"Un homme soupçonné d’avoir agressé le père de l’humoriste Alexandre Champagne à la station de métro Jean-Talon a été arrêté vendredi, confirme le Service de police de la Ville de Montréal (SPVM).",https://www.lapresse.ca/actualites/justice-et-faits-divers/2024-03-22/station-de-metro-jean-talon/un-suspect-arrete-concernant-l-agression-du-pere-d-alexandre-champagne.php
Publié le 22 mars 2024,Prendre le métro est devenu stressant,"Chaque vendredi, nous revenons sur la semaine médiatique d’une personnalité, d’une institution ou d’un dossier qui s’est retrouvé au cœur de l’actualité",https://www.lapresse.ca/dialogue/chroniques/2024-03-22/grosse-semaine-pour-la-securite-dans-le-metro-de-montreal/prendre-le-metro-est-devenu-stressant.php
Publié le 22 mars 2024,Les plaintes des usagers ont triplé depuis 10 ans,"La cohabitation est de plus en plus tendue dans le réseau du métro. Le nombre des plaintes à la Société de transport de Montréal (STM) a triplé l’an dernier, surtout à cause de l’itinérance et de la consommation de drogue et d’alcool, révèlent les données obtenues par .",https://www.lapresse.ca/actualites/grand-montreal/2024-03-22/metro-de-montreal/les-plaintes-des-usagers-ont-triple-depuis-10-ans.php
Publié le 21 mars 2024,Une balade en métro vers nulle part ?,"« Geneviève Guilbault dans le métro. » C’était le titre d’une chronique de mars 2023, quand j’avais accompagné la nouvelle ministre des Transports dans les méandres du réseau de Paris.",https://www.lapresse.ca/actualites/chroniques/2024-03-21/une-balade-en-metro-vers-nulle-part.php
Publié le 20 mars 2024,Climat violent dans un garage d’autobus,"Rien ne va plus au garage d’autobus Legendre de la Société de transport de Montréal (STM), où un climat de travail toxique a pris un tournant carrément violent dans les derniers mois, selon des rapports de santé et sécurité du travail.",https://www.lapresse.ca/actualites/grand-montreal/2024-03-20/societe-de-transport-de-montreal/climat-violent-dans-un-garage-d-autobus.php
Publié le 19 mars 2024,"Montréal, Toronto et Vancouver réclament au fédéral d’accélérer","Confrontées à « l’explosion de la croissance démographique et des pressions financières croissantes », les sociétés de transport de Montréal, Toronto et Vancouver font front commun et pressent Ottawa de devancer ses investissements en transport collectif.",https://www.lapresse.ca/actualites/politique/2024-03-19/financement-du-transport-collectif/montreal-toronto-et-vancouver-reclament-au-federal-d-accelerer.php
